name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barb.,Argentina,Armenia,Aruba,Ashmore and Cartier Is.,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Br. Indian Ocean Ter.,Brazil,British Virgin Is.,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Is.,Central African Rep.,Chad,Chile,China,Colombia,Comoros,Congo,Cook Is.,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Dem. Rep. Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Eq. Guinea,Eritrea,Estonia,Ethiopia,Faeroe Is.,Falkland Is.,Fiji,Finland,Fr. Polynesia,Fr. S. Antarctic Lands,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard I. and McDonald Is.,Honduras,Hong Kong,Hungary,Iceland,India,Indian Ocean Ter.,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Is.,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,N. Cyprus,N. Mariana Is.,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Is.,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,S. Geo. and the Is.,S. Sudan,Saint Helena,Saint Lucia,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Siachen Glacier,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Is.,Somalia,Somaliland,South Africa,South Korea,Spain,Sri Lanka,St-Barthélemy,St-Martin,St. Kitts and Nevis,St. Pierre and Miquelon,St. Vin. and Gren.,Sudan,Suriname,Sweden,Switzerland,Syria,São Tomé and Principe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Is.,U.S. Virgin Is.,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,W. Sahara,Wallis and Futuna Is.,Yemen,Zambia,Zimbabwe,eSwatini,Åland
Afghanistan,0,95,91,59,49,28,77,10,29,20,72,30,79,93,3,51,30,90,53,99,49,36,57,50,86,58,89,40,55,63,76,77,80,59,15,65,65,47,47,83,39,4,18,69,77,97,84,37,70,91,61,12,86,7,17,85,34,55,76,6,32,36,44,71,61,99,45,12,62,47,61,46,21,48,61,92,82,29,12,89,53,18,75,43,25,89,32,49,35,22,76,50,57,94,92,89,1,78,18,38,51,78,13,73,95,36,68,90,79,34,86,74,68,16,31,90,59,72,53,53,82,23,57,78,83,9,74,14,60,90,2,66,69,22,99,28,96,63,50,93,78,13,24,74,95,77,22,54,93,58,79,83,76,29,30,61,61,95,15,25,1,33,18,88,57,6,9,88,69,48,2,56,77,91,81,4,84,12,88,15,35,4,76,84,46,46,12,29,9,26,69,80,55,13,35,69,25,75,21,60,98,14,44,28,71,40,31,51,78,69,82,72,45,73,53,44,76,7,56,64,4,95,75,22,44,42,33,32,34,35,8,25,93,85,91,89,55,85,74,6,45
Albania,81,0,97,34,38,30,87,31,98,12,25,62,26,63,7,11,59,30,30,89,82,84,46,3,81,31,28,44,98,3,43,66,89,22,54,61,59,61,99,90,48,99,66,98,49,2,29,69,20,85,17,77,27,69,1,64,47,3,5,73,63,61,71,58,6,12,80,51,45,43,62,86,44,28,94,4,43,6,24,38,66,85,80,1,33,34,62,69,32,50,81,51,61,60,32,17,11,45,21,29,40,39,23,41,15,44,24,66,1,66,13,61,53,11,66,70,19,56,15,68,59,11,2,70,96,11,48,89,47,52,63,80,83,24,94,67,98,17,30,82,53,30,21,52,80,63,25,52,97,15,41,14,97,55,67,27,14,8,84,94,45,85,38,31,17,79,66,49,73,54,83,19,42,9,51,65,53,56,12,51,30,91,11,29,95,44,23,48,29,65,27,36,51,5,64,20,6,90,66,21,40,90,23,89,74,29,10,62,91,85,81,1,51,49,28,46,91,42,89,44,78,76,1,90,54,35,15,33,69,17,80,52,6,35,19,26,5,96,92,67,24
Algeria,69,44,0,17,51,38,78,97,76,88,87,95,60,41,84,43,95,70,29,0,36,0,2,94,47,79,87,49,33,64,8,59,91,28,20,14,13,71,7,10,33,11,89,29,89,75,71,69,22,37,94,25,38,18,98,25,41,38,6,92,13,49,72,97,92,68,65,60,39,18,80,67,23,82,83,13,35,54,68,5,82,94,0,39,52,93,4,28,31,28,21,75,84,4,39,51,17,90,29,88,55,5,5,28,49,8,3,35,77,98,95,96,84,11,27,80,16,92,1,44,61,27,68,62,95,67,39,48,38,20,6,9,60,49,48,30,10,37,49,65,85,42,5,99,21,95,42,14,19,55,14,35,67,58,50,23,50,5,39,89,63,99,63,53,80,41,52,49,45,33,28,80,98,33,5,88,87,14,22,18,46,25,28,49,18,85,71,91,96,38,45,36,58,27,39,2,73,83,48,80,91,39,59,29,65,13,38,76,93,63,40,46,0,36,27,90,30,89,52,56,32,50,87,43,42,95,37,15,16,22,34,40,93,69,46,3,54,28,43,45,74
American Samoa,46,54,25,0,43,63,80,25,59,22,91,75,43,25,28,94,63,73,13,93,10,44,69,86,85,60,22,1,17,4,72,4,32,90,18,49,23,84,0,55,57,75,59,69,41,86,28,52,81,13,81,12,70,55,15,0,96,42,37,36,99,77,35,39,81,88,58,75,59,60,69,41,90,68,33,75,31,92,5,31,88,93,24,46,39,85,62,1,21,42,12,54,49,74,22,1,23,86,44,31,16,38,55,89,32,9,7,73,26,73,49,54,65,1,45,40,63,50,90,23,27,59,29,37,75,56,64,69,17,44,60,31,28,67,2,31,69,71,22,67,66,29,69,11,28,98,66,79,65,10,64,91,70,26,99,21,39,48,98,60,54,83,68,84,57,19,84,56,90,90,35,19,11,50,30,6,38,37,0,66,82,46,4,1,33,32,82,93,20,83,21,85,90,84,15,10,61,57,86,31,35,94,15,15,70,13,20,52,76,4,99,70,90,50,13,57,63,24,91,34,66,56,18,56,37,11,2,56,47,84,37,53,52,67,38,27,93,41,81,34,78
Andorra,2,93,57,81,0,20,17,80,70,6,81,62,59,83,48,86,77,4,99,63,8,38,78,71,30,41,98,67,44,79,33,62,19,13,50,2,86,5,46,7,10,10,58,23,51,84,81,60,68,28,77,5,59,18,19,47,27,41,22,10,0,75,46,84,32,71,73,94,90,77,38,7,50,8,98,8,94,86,58,43,92,87,11,73,70,73,60,26,51,28,10,3,5,20,95,89,63,53,58,44,60,83,3,58,69,1,57,32,17,10,47,93,84,97,63,19,67,6,94,61,55,18,68,74,84,39,82,13,12,98,21,39,82,92,10,76,95,83,24,99,25,9,4,59,40,48,62,3,16,77,78,14,45,62,77,38,32,12,19,0,81,26,74,65,11,70,13,96,59,24,94,95,54,69,68,14,85,45,67,67,70,57,7,74,83,31,52,29,10,67,13,20,52,21,30,70,64,48,76,90,42,60,59,3,60,16,61,77,66,17,60,36,99,11,60,84,5,98,23,55,5,29,23,4,36,51,79,98,4,6,62,48,63,62,11,62,95,96,55,59,95
Angola,58,65,37,69,92,0,29,95,93,59,94,9,78,74,21,42,80,62,46,69,76,75,63,51,78,27,15,86,88,7,97,18,68,13,58,33,49,25,92,82,74,28,32,8,81,55,95,46,16,44,50,65,84,8,86,16,76,15,5,13,23,29,27,85,41,35,13,95,78,2,79,39,23,20,37,58,93,25,70,1,89,98,3,6,45,33,98,27,99,37,26,77,38,24,96,42,54,65,43,94,62,82,67,16,88,64,80,38,96,13,94,54,53,81,56,77,88,37,75,76,9,43,25,39,71,73,23,28,84,18,99,72,71,60,9,16,27,24,1,2,31,13,6,35,61,95,55,92,0,6,74,50,10,44,67,66,38,35,71,46,50,56,24,15,38,43,78,80,33,78,92,50,49,40,52,84,44,94,79,80,39,40,66,24,54,77,51,47,45,45,22,59,68,54,22,30,66,43,88,10,67,70,71,81,2,52,89,21,53,61,32,26,68,62,78,71,41,97,1,71,65,96,66,5,7,62,36,88,6,6,82,2,71,71,36,76,54,52,30,60,37
Anguilla,49,87,38,23,23,13,0,22,86,70,86,41,84,27,27,27,72,0,71,57,56,60,34,25,75,67,74,0,98,10,70,16,15,49,24,58,49,23,36,93,99,74,97,82,60,22,18,93,91,18,28,23,31,21,3,44,73,34,79,78,43,84,40,79,67,7,14,78,3,66,50,31,1,45,18,40,24,4,14,52,2,57,58,79,20,64,29,32,3,80,90,68,28,22,20,45,95,11,22,12,70,28,25,46,29,77,63,78,32,69,77,16,11,14,46,85,97,60,79,53,13,77,66,9,7,20,66,35,14,80,0,16,74,82,63,42,4,75,59,90,68,68,26,70,25,1,45,33,92,56,61,96,13,72,23,17,46,36,64,66,59,98,53,18,76,24,0,45,96,40,62,21,93,4,78,5,94,26,96,29,51,31,89,26,76,98,42,11,47,52,38,50,7,81,10,46,71,68,11,57,74,48,58,40,13,51,26,78,4,83,23,94,18,64,34,38,27,44,99,62,33,83,40,24,57,74,93,6,58,69,16,67,97,71,96,59,34,73,5,25,71
Antarctica,73,0,30,34,15,48,36,0,8,78,60,62,30,99,34,37,18,66,54,25,71,4,13,98,42,14,94,90,77,99,91,59,37,24,91,87,33,3,74,91,20,36,52,46,56,13,58,74,51,69,89,71,83,31,99,94,19,44,68,72,8,41,86,31,56,41,79,69,56,19,28,49,69,83,23,99,94,54,11,4,81,62,91,34,48,47,98,50,50,14,54,12,70,14,42,37,80,2,52,94,68,31,2,63,46,41,69,4,45,35,93,24,43,84,17,52,7,5,86,44,30,27,36,66,39,65,73,31,42,50,90,62,12,13,42,45,93,59,10,40,84,3,87,48,84,55,68,25,17,14,59,75,43,79,41,80,88,8,3,17,0,21,77,21,73,43,11,6,95,10,3,96,78,45,62,87,1,84,71,37,59,28,54,48,48,9,81,47,25,71,95,42,8,34,90,82,91,18,41,24,19,17,32,33,57,29,17,52,34,26,47,64,92,99,35,93,97,79,78,35,86,54,60,89,77,8,59,89,9,99,75,36,7,98,46,79,72,65,79,10,91
Antigua and Barb.,24,82,67,18,75,3,62,71,0,76,84,92,81,96,83,57,13,15,36,59,10,71,26,40,96,55,56,9,52,5,89,12,40,55,56,13,45,94,91,32,90,32,60,64,38,75,5,70,51,27,18,9,53,89,89,60,85,23,90,4,5,89,5,33,5,2,43,2,62,27,49,72,80,24,10,32,12,68,98,97,3,96,33,2,11,57,77,83,62,12,56,77,77,73,75,98,18,77,26,41,97,96,72,62,51,27,33,58,68,72,20,82,19,31,42,54,66,35,21,63,97,94,68,3,82,14,66,73,72,30,12,45,78,36,82,78,86,47,66,63,93,90,24,97,78,35,63,7,56,9,62,36,74,78,45,54,24,85,2,68,80,44,10,96,66,91,3,14,35,92,25,28,83,50,46,34,36,52,78,56,16,68,8,37,46,8,55,68,48,45,28,6,23,97,15,3,12,32,56,63,63,5,6,93,59,5,32,74,49,15,85,3,3,19,8,2,20,27,81,96,96,23,46,99,12,39,42,28,77,53,28,2,64,27,33,36,58,25,82,7,32
Argentina,74,89,52,95,82,25,55,89,98,0,16,54,16,64,92,14,79,38,56,89,5,71,75,0,52,75,20,44,46,49,14,99,37,57,28,82,31,49,16,26,24,28,12,29,96,73,53,14,28,97,96,37,74,76,83,64,82,11,82,94,11,32,66,96,94,5,16,78,86,13,68,25,84,2,70,83,26,46,36,1,76,88,86,22,84,65,87,30,54,8,13,9,68,4,70,51,2,15,67,1,65,85,94,86,86,13,23,23,47,29,84,96,3,70,58,64,34,18,88,73,67,25,42,63,92,18,1,85,57,57,31,47,92,28,93,98,37,36,49,21,11,95,11,7,64,26,14,3,83,22,75,39,69,26,67,2,82,70,96,32,94,74,74,33,63,30,1,50,69,2,86,54,80,81,42,67,69,39,24,24,82,22,13,94,87,85,74,63,37,72,32,90,62,52,36,21,75,86,20,82,72,95,68,4,44,20,2,7,17,53,20,0,55,43,62,2,23,85,2,85,94,4,69,20,5,63,66,21,76,1,76,49,3,44,28,45,80,63,25,3,74
